number	latency	type	duration	init_index	init_time	urevent
1.000000	2.000000	RH_close	838.000000	1.000000	0.001000	1.000000
2.000000	2173.000000	RH_open	750.000000	2.000000	2.172000	2.000000
3.000000	4782.000000	RH_close	560.000000	3.000000	4.781000	3.000000
4.000000	6431.000000	RH_open	558.000000	4.000000	6.430000	4.000000
5.000000	9154.000000	RH_close	802.000000	5.000000	9.153000	5.000000
6.000000	11012.000000	RH_open	479.000000	6.000000	11.011000	6.000000
7.000000	13606.000000	RH_close	722.000000	7.000000	13.605000	7.000000
8.000000	15538.000000	RH_open	432.000000	8.000000	15.537000	8.000000
9.000000	17878.000000	RH_close	661.000000	9.000000	17.877000	9.000000
10.000000	19536.000000	RH_open	335.000000	10.000000	19.535000	10.000000
11.000000	21603.000000	RH_close	863.000000	11.000000	21.602000	11.000000
12.000000	23482.000000	RH_open	510.000000	12.000000	23.481000	12.000000
13.000000	25851.000000	RH_close	632.000000	13.000000	25.850000	13.000000
14.000000	27518.000000	RH_open	319.000000	14.000000	27.517000	14.000000
15.000000	29842.000000	RH_close	776.000000	15.000000	29.841000	15.000000
16.000000	31717.000000	RH_open	426.000000	16.000000	31.716000	16.000000
17.000000	34326.000000	RH_close	533.000000	17.000000	34.325000	17.000000
18.000000	36103.000000	RH_open	364.000000	18.000000	36.102000	18.000000
19.000000	38397.000000	RH_close	887.000000	19.000000	38.396000	19.000000
20.000000	39861.000000	RH_open	426.000000	20.000000	39.860000	20.000000
21.000000	42269.000000	RH_close	898.000000	21.000000	42.268000	21.000000
22.000000	43898.000000	RH_open	412.000000	22.000000	43.897000	22.000000
23.000000	45948.000000	RH_close	1047.000000	23.000000	45.947000	23.000000
24.000000	47975.000000	RH_open	518.000000	24.000000	47.974000	24.000000
25.000000	50142.000000	RH_close	635.000000	25.000000	50.141000	25.000000
26.000000	51784.000000	RH_open	488.000000	26.000000	51.783000	26.000000
27.000000	53951.000000	RH_close	963.000000	27.000000	53.950000	27.000000
28.000000	55563.000000	RH_open	579.000000	28.000000	55.562000	28.000000
29.000000	57817.000000	RH_close	784.000000	29.000000	57.816000	29.000000
30.000000	59263.000000	RH_open	426.000000	30.000000	59.262000	30.000000
31.000000	61415.000000	RH_close	832.000000	31.000000	61.414000	31.000000
32.000000	63110.000000	RH_open	365.000000	32.000000	63.109000	32.000000
33.000000	64922.000000	RH_close	664.000000	33.000000	64.921000	33.000000
34.000000	66410.000000	RH_open	339.000000	34.000000	66.409000	34.000000
35.000000	68281.000000	RH_close	822.000000	35.000000	68.280000	35.000000
36.000000	70026.000000	RH_open	620.000000	36.000000	70.025000	36.000000
37.000000	72141.000000	RH_close	852.000000	37.000000	72.140000	37.000000
38.000000	73768.000000	RH_open	426.000000	38.000000	73.767000	38.000000
39.000000	75688.000000	RH_close	731.000000	39.000000	75.687000	39.000000
40.000000	77385.000000	RH_open	487.000000	40.000000	77.384000	40.000000
