Latency,Type,Duration
1,NM,6048
6050,LH_close,872
9491,LH_open,994
10486,NM,23546
34033,LH_close,830
37156,LH_open,863
38020,NM,25827
63848,LH_close,801
66964,LH_open,813
67778,NM,26222
94001,LH_close,770
97337,LH_open,690
98028,NM,25968
123997,LH_close,924
126970,LH_open,811
127782,NM,26157
153940,LH_close,964
157571,LH_open,742
158314,NM,25208
183523,LH_close,1145
187205,LH_open,801
188007,NM,25596
213604,LH_close,862
216881,LH_open,1046
217928,NM,25622
243551,LH_close,1096
247347,LH_open,922
248270,NM,25387
273658,LH_close,811
276517,LH_open,772
277290,NM,26274
303565,LH_close,862
306963,LH_open,1102
308066,NM,25825
333892,LH_close,1176
338142,LH_open,1086
339229,NM,24262
363492,LH_close,891
366869,LH_open,864
367734,NM,25809
393544,LH_close,680
396368,LH_open,1113
397482,NM,26079
423562,LH_close,770
426788,LH_open,956
427745,NM,26350
454096,LH_close,863
457810,LH_open,964
458775,NM,24433
483209,LH_close,915
486287,LH_open,903
487191,NM,26113
513305,LH_close,750
516622,LH_open,1085
517708,NM,25548
543257,LH_close,831
546970,LH_open,659
547630,NM,25282
572913,LH_close,648
575944,LH_open,770
576715,NM,25989
602705,LH_close,649
605829,LH_open,709
606539,NM,5742
