Latency,Type,Duration
1,NM,4648
4650,RH_close,456
5624,RH_open,405
6030,NM,25678
31709,RH_close,486
33118,RH_open,589
33708,NM,28331
62040,RH_close,547
63501,RH_open,617
64119,NM,34088
98208,RH_close,395
99354,RH_open,620
99975,NM,28229
128205,RH_close,404
129319,RH_open,528
129848,NM,28450
158299,RH_close,405
159414,RH_open,547
159962,NM,28178
188141,RH_close,485
189307,RH_open,487
189795,NM,28147
217943,RH_close,455
219261,RH_open,437
219699,NM,28706
248406,RH_close,343
249358,RH_open,467
249826,NM,29260
279087,RH_close,334
280192,RH_open,365
280558,NM,27873
308432,RH_close,425
309841,RH_open,519
310361,NM,27578
337940,RH_close,365
339228,RH_open,466
339695,NM,27950
367646,RH_close,425
368995,RH_open,527
369523,NM,28713
398237,RH_close,425
399586,RH_open,426
400013,NM,27652
427666,RH_close,424
429044,RH_open,375
429420,NM,29249
458670,RH_close,397
460081,RH_open,467
460549,NM,27958
488508,RH_close,434
489835,RH_open,426
490262,NM,27559
517822,RH_close,405
518988,RH_open,435
519424,NM,28191
547616,RH_close,424
549026,RH_open,588
549615,NM,28035
577651,RH_close,556
579069,RH_open,427
579497,NM,25652
605150,RH_close,455
606345,RH_open,458
606804,NM,7232
